YEAR	MFR	CAR LINE	DISPLACEMENT	NUMB CYL	CITY MPG (GUIDE)	HWY MPG (GUIDE)	COMB MPG (GUIDE)

2007	ASTON MARTIN	V8 VANTAGE	4,3	8	14	20	16
2007	ASTON MARTIN	V8 VANTAGE ASM	4,3	8	15	21	17
2007	BMW	Z4 3.0I	3	6	20	30	24
2007	BMW	Z4 3.0I	3	6	21	30	24
2007	BMW	Z4 3.0SI	3	6	20	30	24
2007	BMW	Z4 3.0SI	3	6	21	30	24
2007	BMW	Z4 COUPE	3	6	20	30	24
2007	BMW	Z4 COUPE	3	6	21	30	24
2007	BMW	Z4 M COUPE	3,2	6	16	24	19
2007	BMW	Z4 M ROADSTER	3,2	6	16	24	19
2007	CADILLAC	XLR	4,4	8	15	22	17
2007	CADILLAC	XLR	4,6	8	17	27	20
2007	CHEVROLET	CORVETTE	6	8	18	28	21
2007	CHEVROLET	CORVETTE	6	8	17	27	21
2007	CHEVROLET	CORVETTE	7	8	16	26	20
2007	CHRYSLER	CROSSFIRE COUPE	3,2	6	21	28	24
2007	CHRYSLER	CROSSFIRE COUPE	3,2	6	17	25	20
2007	CHRYSLER	CROSSFIRE ROADSTER	3,2	6	21	28	24
2007	CHRYSLER	CROSSFIRE ROADSTER	3,2	6	17	25	20
2007	FERRARI	F430	4,3	8	12	17	14
2007	FERRARI	F430	4,3	8	13	17	14
2007	FERRARI	FERRARI 599 GTB	5,9	12	11	15	13
2007	FERRARI	FERRARI 599 GTB	5,9	12	11	15	12
2007	HONDA	S2000	2,2	4	20	26	22
2007	LAMBORGHINI	GALLARDO COUPE	5	10	12	18	14
2007	LAMBORGHINI	GALLARDO COUPE	5	10	12	18	14
2007	LAMBORGHINI	GALLARDO COUPE SL	5	10	12	19	14
2007	LAMBORGHINI	GALLARDO COUPE SL	5	10	12	20	15
2007	LAMBORGHINI	GALLARDO SPYDER	5	10	11	17	13
2007	LAMBORGHINI	GALLARDO SPYDER	5	10	11	17	13
2007	LAMBORGHINI	L-147/148 MURCIELAGO	6,5	12	9	14	11
2007	LAMBORGHINI	L-147/148 MURCIELAGO	6,5	12	10	16	12
2007	LOTUS	ELISE/EXIGE	1,8	4	24	29	26
2007	LOTUS	ELISE/EXIGE	1,8	4	23	29	25
2007	MAZDA	MX-5	2	4	25	30	27
2007	MAZDA	MX-5	2	4	24	30	27
2007	MAZDA	MX-5	2	4	22	30	25
2007	MERCEDES-BENZ	SL55 AMG	5,4	8	14	19	15
2007	MERCEDES-BENZ	SL550	5,5	8	14	22	17
2007	MERCEDES-BENZ	SL600	5,5	12	13	19	15
2007	MERCEDES-BENZ	SL65 AMG	6	12	13	19	15
2007	MERCEDES-BENZ	SLK280	3	6	20	27	22
2007	MERCEDES-BENZ	SLK280	3	6	20	27	22
2007	MERCEDES-BENZ	SLK350	3,5	6	19	25	21
2007	MERCEDES-BENZ	SLK350	3,5	6	18	25	21
2007	MERCEDES-BENZ	SLK55 AMG	5,4	8	16	22	18
2007	MERCEDES-BENZ	SLR	5,4	8	13	17	14
2007	NISSAN	350Z	3,5	6	20	27	23
2007	NISSAN	350Z	3,5	6	19	26	22
2007	NISSAN	350Z ROADSTER	3,5	6	19	26	22
2007	NISSAN	350Z ROADSTER	3,5	6	19	25	21
2007	PONTIAC	SOLSTICE	2	4	21	29	24
2007	PONTIAC	SOLSTICE	2	4	22	31	25
2007	PONTIAC	SOLSTICE	2,4	4	22	26	24
2007	PONTIAC	SOLSTICE	2,4	4	20	28	23
2007	PORSCHE	BOXSTER	2,7	6	21	28	24
2007	PORSCHE	BOXSTER	2,7	6	23	32	26
2007	PORSCHE	BOXSTER	2,7	6	22	31	25
2007	PORSCHE	BOXSTER S	3,4	6	20	27	23
2007	PORSCHE	BOXSTER S	3,4	6	20	28	23
2007	PORSCHE	CAYMAN	2,7	6	21	28	24
2007	PORSCHE	CAYMAN	2,7	6	23	32	26
2007	PORSCHE	CAYMAN	2,7	6	22	31	25
2007	PORSCHE	CAYMAN S	3,4	6	20	27	23
2007	PORSCHE	CAYMAN S	3,4	6	20	28	23
2007	SATURN	SKY	2	4	21	29	24
2007	SATURN	SKY	2	4	22	31	25
2007	SATURN	SKY	2,4	4	22	26	24
2007	SATURN	SKY	2,4	4	20	28	23
2007	SPYKR	C8 DOUBLE 12 SPYDER	4,2	8	14	20	16
2007	SPYKR	C8 SPYDER	4,2	8	14	20	16
2007	ASTON MARTIN	DB9 COUPE	5,9	12	12	19	15
2007	ASTON MARTIN	DB9 COUPE MANUAL	5,9	12	11	18	13
2007	ASTON MARTIN	DB9 VOLANTE	5,9	12	13	18	15
2007	ASTON MARTIN	DB9 VOLANTE MANUAL	5,9	12	11	18	13
2007	JAGUAR	JAGUAR XK	4,2	8	18	27	21
2007	JAGUAR	JAGUAR XK CONVERTIBLE	4,2	8	18	27	21
2007	JAGUAR	JAGUAR XKR	4,2	8	17	25	20
2007	JAGUAR	JAGUAR XKR CONVERTIBLE	4,2	8	17	25	20
2007	LEXUS	SC 430	4,3	8	18	25	21
2007	MINI	MINI COOPER	1,6	4	32	40	35
2007	MINI	MINI COOPER	1,6	4	30	37	33
2007	MINI	MINI COOPER CONVERTIBLE	1,6	4	25	33	28
2007	MINI	MINI COOPER CONVERTIBLE	1,6	4	26	35	29
2007	MINI	MINI COOPER S	1,6	4	29	36	32
2007	MINI	MINI COOPER S	1,6	4	26	33	29
2007	MINI	MINI COOPER S CONVERTIBLE	1,6	4	24	31	26
2007	MINI	MINI COOPER S CONVERTIBLE	1,6	4	22	32	26
2007	MITSUBISHI	ECLIPSE SPYDER	2,4	4	22	29	25
2007	MITSUBISHI	ECLIPSE SPYDER	2,4	4	22	28	24
2007	MITSUBISHI	ECLIPSE SPYDER	3,8	6	17	26	20
2007	MITSUBISHI	ECLIPSE SPYDER	3,8	6	18	26	21
